,Men_log,Women_log,Hispanic_scale,White_scale,Black_scale,Native_scale,Asian_scale,Pacific_scale,Construction_log,Production_log,Drive_boxcox,Carpool_boxcox,Walk_boxcox,OtherTransp_boxcox,Income_log,IncomeErr_log,IncomePerCap_log,IncomePerCapErr_log,Poverty_log,ChildPoverty_log,TotalPop_log,MeanCommute_scale
Maryland-Kent,9.146548238888403,9.26302769425519,-0.34886084722202326,0.12958125184021876,0.45069316342060955,-0.21008159297476972,-0.08700989637500284,-0.11258977713575608,2.379546134130174,2.2925347571405443,8275080930.568791,4.106011489627671,1.3978982058027787,0.8701017335679802,10.970729565902293,8.142354276849835,10.311649022192036,7.4109518755836366,2.4159137783010487,2.8273136219290276,9.899630122208823,0.4145374555326092
Maryland-Montgomery,13.10235044799621,13.17640828263613,0.3788506988246291,-1.2572888017204535,0.5907795558039046,-0.21008159297476972,5.002880299921934,-0.11258977713575608,1.7578579175523736,1.4586150226995167,4845179885.137021,4.4325833066344655,0.9047609257072509,0.6848266081210523,11.507259443343601,6.858565034791365,10.80181795903329,5.961005339623274,1.9021075263969205,2.1400661634962708,13.833211959623414,2.003937862341653
Maryland-Prince George's,12.970616805392632,13.045942270477488,0.26969396691763114,-2.6659649881987466,3.7777449825238643,-0.21008159297476972,1.1284862699048626,-0.11258977713575608,2.272125885509337,2.128231705849268,4803506840.418467,4.9581040401285685,0.9245723099670654,0.5883840329178517,11.21532772773107,6.641182169740591,10.39326317135381,5.598421958998375,2.2617630984737906,2.5726122302071057,13.702135791595556,2.3611064930852583
Maryland-Queen Anne's,10.086808609663166,10.1095256359474,-0.3956423037535937,0.495924284856245,-0.08863944725507593,-0.23766023534502304,-0.1629784067674944,-0.11258977713575608,2.2192034840549946,2.2082744135228043,14505079936.892797,4.490063313290588,0.790194514736272,0.5513116879186498,11.361672250100924,8.29254851397576,10.564447228842829,7.208600337960199,2.0149030205422647,2.3978952727983707,10.791378809888585,2.039654725416014
Maryland-St. Mary's,10.908924048640696,10.914215355893717,-0.33846496799278536,0.0074669075015427406,0.3806499672289621,-0.22387091415989635,0.5587224419611757,-0.11258977713575608,2.388762789235098,2.0014800002101243,21766460927.09714,3.6609918051194663,0.8622934989190693,0.5513116879186498,11.373513961184294,7.661997558901893,10.509659719081666,6.883462586413092,2.066862759472976,2.3513752571634776,11.604720382564624,1.075299422408279
Maryland-Somerset,9.557469903071384,9.378393956972433,-0.38524642452435587,-1.034866245960723,2.292829223260938,-0.19629227178964304,-0.04902564117875701,-0.11258977713575608,2.3978952727983707,2.5416019934645457,17168591023.652016,3.6940210201053354,1.0840749761967607,0.8099233562582846,10.467493688772844,8.150179269682326,9.71902370267014,7.653020413804189,3.2068032436339315,3.681351187693145,10.165082290224591,0.14666098247490514
Maryland-Talbot,9.787571522938785,9.902887372464095,-0.2604958737735012,0.1208587986731704,0.21254629636900813,-0.22387091415989635,0.10291137960622614,0.023498466999804964,2.312535423847214,2.0149030205422647,14096313977.051579,4.659303591635055,0.9047609257072509,0.7129159957715903,10.972121617684552,8.506940814951886,10.553648940919915,7.589335823170617,2.4159137783010487,2.7788192719904172,10.540037926231284,0.48597118168132997
Maryland-Washington,11.23925148610629,11.201114620939853,-0.3644546660658801,0.26477927592946643,0.07245990398571318,-0.21008159297476972,0.14089563480247197,-0.11258977713575608,2.312535423847214,2.6878474937846906,16239337399.580278,4.461392126490072,0.9047609257072509,0.5883840329178517,10.937170132451657,7.19668657083435,10.206033606636451,6.238324625039508,2.5572273113676265,2.995732273553991,11.913512025627286,0.9145735385736562
Maryland-Wicomico,10.783093552935505,10.87772638636448,-0.31767320953430955,-0.4548231103520144,1.074077609526272,-0.22387091415989635,0.6726752075499131,-0.11258977713575608,2.2192034840549946,2.501435951739211,19289550480.106365,4.166773725908501,0.8840266462048618,0.8882713986982212,10.864330911459342,7.3343293503005365,10.175078352087965,6.807934943699926,2.766319109226186,2.995732273553991,11.52467615440289,-0.3533751005661425
Maryland-Worcester,10.127350844774687,10.184937747111391,-0.4008402433682127,0.19936087717660453,0.36664132799063265,-0.22387091415989635,0.0649271244099803,0.023498466999804964,2.2512917986064953,2.066862759472976,15569989229.095577,3.526751734801504,1.056753740431538,0.8882713986982212,10.946816139580935,7.957527402230773,10.386499949656635,7.138866999945524,2.3978952727983707,2.740840023925201,10.849705950651972,0.021651961714642756
Maryland-Baltimore city,12.589176255222174,12.704080471185506,-0.33326702837816646,-2.064115719672417,3.7567320236663697,-0.21008159297476972,0.5207381867649299,-0.11258977713575608,1.7227665977411035,2.302585092994046,3036148067.062531,4.2567279071581705,1.381511398053649,0.8701017335679802,10.651146592342338,6.284134161070802,10.154518607337229,5.834810737062605,3.1654750481410856,3.5322256440685598,13.341425009008258,1.289600600854442
Massachusetts-Barnstable,11.535117392476725,11.630904037063672,-0.43722582067054533,0.6834570279477823,-0.43185110859414855,-0.18250295060451638,0.0649271244099803,-0.11258977713575608,2.4159137783010487,1.9459101490553132,17771346672.389027,3.4583003773954824,0.9616916936713608,0.6848266081210523,11.054866216741466,7.334981878871814,10.53683164872532,6.507277712385012,2.163323025660538,2.6026896854443837,12.277304342309774,0.07522725632618368
Massachusetts-Berkshire,11.04120836857775,11.11087950490772,-0.369652605680499,0.6223998557784449,-0.41784246935581904,-0.21008159297476972,0.10291137960622614,-0.11258977713575608,2.2192034840549946,2.128231705849268,12739735426.109652,4.075385090122899,1.3056942868403318,0.7641944631236741,10.818897896982977,7.329093736246592,10.324465052274801,6.618738983517219,2.5649493574615367,2.9806186357439426,11.76979775302848,-0.5141009844007652
